Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,T,TMUS,T,TMUS,T,TMUS,T,TMUS,T,TMUS
Date,,,,,,,,,,
1983-11-21,0.26270821690559387,,0.26483977296741673,,0.26004389697744124,,0.26004389697744124,,5177899,
1983-11-22,0.2605765759944916,,0.2627080499604383,,0.2605765759944916,,0.2627080499604383,,3884616,
1983-11-23,0.2595108151435852,,0.26110946094115045,,0.2584450781923143,,0.26057656824311964,,2143291,
1983-11-25,0.26004353165626526,,0.2611092678192955,,0.2595106232041211,,0.2595106232041211,,4475650,
1983-11-28,0.2573794722557068,,0.2605767008852781,,0.2573794722557068,,0.26004385636080257,,5713325,
1983-11-29,0.25311633944511414,,0.2568464759256768,,0.25311633944511414,,0.2568464759256768,,3039374,
1983-11-30,0.2515178322792053,,0.2541822169510335,,0.25098498764139016,,0.25311647923057745,,5174722,
1983-12-01,0.2541819214820862,,0.2547148300935328,,0.2520504485188644,,0.2520504485188644,,12648437,
1983-12-02,0.25311633944511414,,0.2541820765770086,,0.25258349510156636,,0.2541820765770086,,2553202,
1983-12-05,0.2520504593849182,,0.2536491045468943,,0.2520504593849182,,0.2531161959124737,,1987589,
1983-12-06,0.2509848475456238,,0.25258349360465704,,0.2509848475456238,,0.25205060081946845,,3927514,
1983-12-07,0.24991920590400696,,0.2520506971177862,,0.24832055923419588,,0.2509849434367604,,8342789,
1983-12-08,0.24991920590400696,,0.2509849434367604,,0.2493862967669493,,0.24991920590400699,,8574754,
1983-12-09,0.24832041561603546,,0.24991906136125663,,0.24778750678719003,,0.24991906136125663,,9132422,
1983-12-12,0.2488533854484558,,0.24938622984944647,,0.24832049260266104,,0.24832049260266104,,4474061,
1983-12-13,0.2509848475456238,,0.25205060081946845,,0.24832046436101207,,0.24885335714620063,,9666259,
1983-12-14,0.2515178322792053,,0.25471512618194964,,0.25098498764139016,,0.25098498764139016,,6601464,
1983-12-15,0.24991920590400696,,0.2520506971177862,,0.2493862967669493,,0.25151778798072855,,4914158,
1983-12-16,0.24991920590400696,,0.25151778798072855,,0.24832055923419588,,0.24991920590400699,,4410509,
1983-12-19,0.24991920590400696,,0.2504520342997027,,0.2493862967669493,,0.24991920590400699,,4968178,
1983-12-20,0.2509848475456238,,0.2509848475456238,,0.24938620148659055,,0.2499191104200453,,3191899,
1983-12-21,0.2515178322792053,,0.2515178322792053,,0.249386340690018,,0.25098498764139016,,9906168,
1983-12-22,0.24991920590400696,,0.2520506971177862,,0.24991920590400699,,0.25151778798072855,,10011029,
1983-12-23,0.25045183300971985,,0.25045183300971985,,0.24832035965729388,,0.2499190050422619,,5112758,
1983-12-27,0.24991920590400696,,0.2504520342997027,,0.24885345222298116,,0.2504520342997027,,3371434,
1983-12-28,0.25258341431617737,,0.25258341431617737,,0.24991903196794216,,0.24991903196794216,,7093992,
1983-12-29,0.2520504593849182,,0.25258335187108166,,0.2515175507504976,,0.25258335187108166,,5942112,
1983-12-30,0.2509848475456238,,0.2536492468785017,,0.2509848475456238,,0.25205060081946845,,3870317,
1984-01-03,0.26004353165626526,,0.2605763755154029,,0.2515174647212557,,0.2515174647212557,,3298349,
1984-01-04,0.2728327214717865,,0.27496429245829496,,0.26270806610290726,,0.26270806610290726,,8595408,
1984-01-05,0.2717669606208801,,0.27762865078596866,,0.2707012075808255,,0.2728326813644094,,5363789,
1984-01-06,0.2653723359107971,,0.2728325885037632,,0.2648394918686527,,0.2717668681229599,,6042206,
1984-01-09,0.2643066644668579,,0.2659053100247556,,0.2627080027606991,,0.26537240125835443,,4278638,
1984-01-10,0.2643066644668579,,0.26537240125835443,,0.2627080027606991,,0.2643066644668579,,4354901,
1984-01-11,0.2659052312374115,,0.2680367203371085,,0.2648394786134348,,0.2648394786134348,,5621174,
1984-01-12,0.26643818616867065,,0.26750392282967916,,0.2648395246582507,,0.2659052774675184,,3549379,
1984-01-13,0.2707012891769409,,0.2707012891769409,,0.2664383241765465,,0.2664383241765465,,5357434,
1984-01-16,0.2760300636291504,,0.2786944306461901,,0.268569774618028,,0.27070126500200653,,4486771,
1984-01-17,0.27709585428237915,,0.27709585428237915,,0.27443145429876803,,0.27603013304478313,,3492182,
1984-01-18,0.28082600235939026,,0.28135889526440433,,0.2770958489139109,,0.2770958489139109,,5911925,
1984-01-19,0.2776285409927368,,0.28135865900952267,,0.2776285409927368,,0.28082576655197466,,3991066,
1984-01-20,0.2776285409927368,,0.27816136885725967,,0.27549697116254473,,0.2776285409927368,,3282461,
1984-01-23,0.27709585428237915,,0.27816160781651555,,0.27603013304478313,,0.27762877949425785,,2343480,
1984-01-24,0.2760300636291504,,0.27922729113098516,,0.2760300636291504,,0.2770957845987405,,2843952,
1984-01-25,0.2717669606208801,,0.27656283315286334,,0.27123410024911554,,0.27603000507762404,,2105160,
1984-01-26,0.26643818616867065,,0.270701148960964,,0.2659052774675184,,0.270701148960964,,4065739,
1984-01-27,0.2659052312374115,,0.2675038763216329,,0.26324083352921346,,0.2664381398459126,,5795942,
1984-01-30,0.2701682150363922,,0.2712339513431005,,0.2653722805443012,,0.26590518906828986,,6531557,
1984-01-31,0.26803693175315857,,0.27123420829521977,,0.26803693175315857,,0.2701684709788915,,2910682,
1984-02-01,0.26643818616867065,,0.2696354122999554,,0.26643818616867065,,0.26803676693779466,,2521426,
1984-02-02,0.2648395895957947,,0.26697107958870325,,0.2648395895957947,,0.2664382514981997,,5649773,
1984-02-03,0.2653723359107971,,0.26643815318114344,,0.26430659938173673,,0.2648394918686527,,4299293,
1984-02-06,0.26270821690559387,,0.2653726175751181,,0.26270821690559387,,0.2653726175751181,,3624053,
1984-02-07,0.26164212822914124,,0.2664380785262937,,0.2595106396199975,,0.26270786445958677,,4292938,
1984-02-08,0.2605765759944916,,0.2632409588225851,,0.26004373172540096,,0.26164231297746493,,2653296,
1984-02-09,0.2557806670665741,,0.2595108027366103,,0.2557806670665741,,0.2595108027366103,,3528725,
1984-02-10,0.2547149360179901,,0.25631358177585234,,0.2536491990931873,,0.25578067294279294,,2918626,
1984-02-13,0.26004353165626526,,0.2605763755154029,,0.2547147539516044,,0.2547147539516044,,4429574,
1984-02-14,0.26164212822914124,,0.2653722615545849,,0.2595106396199975,,0.2600435481058519,,4296115,
1984-02-15,0.2605765759944916,,0.2627080499604383,,0.25897793014937137,,0.26164231297746493,,5397154,
1984-02-16,0.2595108151435852,,0.2616423051943905,,0.2557806792952146,,0.26057656824311964,,4912570,
1984-02-17,0.25791215896606445,,0.26004371352413735,,0.25737933088253223,,0.2595108046992905,,1723848,
1984-02-21,0.25791215896606445,,0.25897791202270654,,0.2568464220576853,,0.25791215896606445,,4385088,
1984-02-22,0.25897786021232605,,0.26110939819570655,,0.2573792793919593,,0.25791210736889547,,4431163,
1984-02-23,0.2552477717399597,,0.25791215433370995,,0.2541820187024596,,0.25791215433370995,,7465771,
1984-02-24,0.2536492645740509,,0.25631364794454026,,0.2515177094328574,,0.2552478461515425,,7024085,
