Price,Close,High,Low,Open,Volume
Ticker,LIN,LIN,LIN,LIN,LIN
Date,,,,,
1992-06-17,4.561636447906494,5.028575611865427,4.453881256223664,4.884902022954986,902000
1992-06-18,4.489800453186035,4.561637260437012,4.310208435058594,4.561637260437012,421400
1992-06-19,4.525716781616211,4.561635168771895,4.453880007304842,4.489798394460527,453400
1992-06-22,4.382045745849609,4.525719376861072,4.346127338096744,4.525719376861072,597200
1992-06-23,4.417964458465576,4.453882868697004,4.382046048234149,4.382046048234149,853800
1992-06-24,4.346123695373535,4.453878828316681,4.31020531772582,4.417960450668966,357600
1992-06-25,4.417964458465576,4.489801278928431,4.417964458465576,4.417964458465576,785000
1992-06-26,4.453881740570068,4.453881740570068,4.382044938302809,4.417963339436438,435000
1992-06-29,4.489800453186035,4.489800453186035,4.38204524230957,4.417963645935059,386600
1992-06-30,4.633471488952637,4.633471488952637,4.489797954411469,4.489797954411469,884400
1992-07-01,4.525716781616211,4.561635168771895,4.489798394460527,4.525716781616211,552600
1992-07-02,4.633471488952637,4.633471488952637,4.417961187140886,4.5616347216820525,1788200
1992-07-06,4.453881740570068,4.5616369439709565,4.417963339436438,4.5616369439709565,580400
1992-07-07,4.202451705932617,4.489798831124591,4.1306149246346235,4.489798831124591,1147000
1992-07-08,3.9869418144226074,4.238370577494303,3.9151050249735513,4.238370577494303,1192800
1992-07-09,4.202451705932617,4.202451705932617,3.9869413620386367,3.9869413620386367,2136600
1992-07-10,4.094696521759033,4.1665333028425255,4.058778131217287,4.130614912300779,866200
1992-07-13,4.130615711212158,4.16653410870096,4.0946973137233575,4.0946973137233575,846600
1992-07-14,4.1665358543396,4.1665358543396,4.094699029264779,4.094699029264779,990000
1992-07-15,4.202451705932617,4.238370096581614,4.16653331528362,4.16653331528362,1080400
1992-07-16,4.130615711212158,4.202452506189761,4.0946973137233575,4.16653410870096,2689000
1992-07-17,4.202451705932617,4.202451705932617,4.05877814333663,4.05877814333663,840400
1992-07-20,4.094696521759033,4.130614912300779,3.95102295959205,3.9869413501337956,1228200
1992-07-21,4.094696521759033,4.1665333028425255,4.022859740675542,4.022859740675542,1279600
1992-07-22,4.238369464874268,4.346124620760902,3.9869407678054554,3.9869407678054554,2743000
1992-07-23,4.202451705932617,4.310206877879607,4.202451705932617,4.202451705932617,2203800
1992-07-24,4.274289131164551,4.310207527224757,4.166533942983932,4.166533942983932,1404000
1992-07-27,4.310208320617676,4.3461267232894905,4.202453112602234,4.274289917945862,1308000
1992-07-28,4.310208320617676,4.3461267232894905,4.238371515274048,4.274289917945862,1134400
1992-07-29,4.238369464874268,4.346124620760902,4.166532694283179,4.3102062354653565,1697600
1992-07-30,4.310208320617676,4.310208320617676,4.166534709930421,4.274289917945862,912800
1992-07-31,4.346123695373535,4.346123695373535,4.274286940078105,4.274286940078105,1303000
1992-08-03,4.417964458465576,4.417964458465576,4.274290817539867,4.310209227771294,1616800
1992-08-04,4.453881740570068,4.4898001417036975,4.417963339436438,4.417963339436438,1457000
1992-08-05,4.453881740570068,4.4898001417036975,4.453881740570068,4.453881740570068,492000
1992-08-06,4.382045745849609,4.453882561355341,4.310208930343878,4.417964153602475,1277800
1992-08-07,4.310208320617676,4.3461267232894905,4.274289917945862,4.274289917945862,306200
1992-08-10,4.274289131164551,4.310207527224757,4.166533942983932,4.202452339044139,593000
1992-08-11,4.1665358543396,4.274291091951831,4.1665358543396,4.274291091951831,1804800
1992-08-12,4.1665358543396,4.310209504489241,4.094699029264779,4.274291091951831,1591600
1992-08-13,4.310208320617676,4.3461267232894905,4.202453112602234,4.202453112602234,1100600
1992-08-14,4.525716781616211,4.561635168771895,4.310206458682106,4.310206458682106,1476600
1992-08-17,4.561636447906494,4.597554845134105,4.453881256223664,4.453881256223664,1461000
1992-08-18,4.597555637359619,4.705310847610235,4.561637233942747,4.597555637359619,1660200
1992-08-19,4.561636447906494,4.669391639589325,4.5257180506788846,4.597554845134105,928000
1992-08-20,4.633471488952637,4.633471488952637,4.597553105317345,4.597553105317345,370400
1992-08-21,4.74122953414917,4.777147939710907,4.597555911902226,4.597555911902226,3771600
1992-08-24,4.633471488952637,4.70530825622322,4.5616347216820525,4.5616347216820525,2085000
1992-08-25,4.669394493103027,4.705312912280743,4.5616392355698805,4.669394493103027,1168800
1992-08-26,4.70530891418457,4.70530891418457,4.597553748210878,4.633472136868775,1347000
1992-08-27,4.669394493103027,4.741231331458458,4.669394493103027,4.705312912280743,764400
1992-08-28,4.633471488952637,4.669389872587928,4.597553105317345,4.633471488952637,516800
1992-08-31,4.633471488952637,4.669389872587928,4.633471488952637,4.669389872587928,304000
1992-09-01,4.615300178527832,4.687414243817329,4.579243145883083,4.615300178527832,1067400
1992-09-02,4.543186187744141,4.61530025421627,4.507129154508076,4.579243220980205,1153600
1992-09-03,4.507129192352295,4.579243259429932,4.507129192352295,4.543186225891113,474800
1992-09-04,4.435014724731445,4.543185815578553,4.435014724731445,4.543185815578553,461600
1992-09-08,4.435014724731445,4.507128785296184,4.435014724731445,4.471071755013814,693800
1992-09-09,4.579244136810303,4.579244136810303,4.471073015468327,4.471073015468327,474200
1992-09-10,4.579244136810303,4.651358217704953,4.543187096362978,4.615301177257628,867200
1992-09-11,4.579244136810303,4.651358217704953,4.543187096362978,4.615301177257628,856600
1992-09-14,4.759528636932373,4.759528636932373,4.651357531547546,4.651357531547546,1092800
1992-09-15,4.651358127593994,4.723472207091576,4.651358127593994,4.651358127593994,1036400
1992-09-16,4.687416076660156,4.687416076660156,4.543187889685997,4.615301983173077,864000
1992-09-17,4.687416076660156,4.687416076660156,4.615301983173077,4.687416076660156,660000
1992-09-18,4.723470687866211,4.723470687866211,4.65135663156291,4.687413659714561,1351400
1992-09-21,4.687416076660156,4.7234731234036955,4.651359029916616,4.687416076660156,491200
1992-09-22,4.651358127593994,4.723472207091576,4.651358127593994,4.687415167342785,1030000
1992-09-23,4.579244136810303,4.651358217704953,4.507130055915652,4.615301177257628,714800
1992-09-24,4.687416076660156,4.7234731234036955,4.579244936429538,4.579244936429538,639400
1992-09-25,4.687416076660156,4.687416076660156,4.615301983173077,4.687416076660156,438800
1992-09-28,4.723470687866211,4.723470687866211,4.65135663156291,4.65135663156291,217600
1992-09-29,4.651358127593994,4.723472207091576,4.651358127593994,4.723472207091576,313000
1992-09-30,4.615300178527832,4.687414243817329,4.579243145883083,4.687414243817329,675200
1992-10-01,4.543186187744141,4.61530025421627,4.4710721212720115,4.579243220980205,727800
1992-10-02,4.543186187744141,4.61530025421627,4.4710721212720115,4.543186187744141,376000
1992-10-05,4.507129192352295,4.543186225891113,4.2907869911193846,4.507129192352295,815800
1992-10-06,4.471074104309082,4.507131153537381,4.326845907395886,4.471074104309082,600800
1992-10-07,4.579244136810303,4.615301177257628,4.471073015468327,4.507130055915652,491400
1992-10-08,4.615300178527832,4.651357211172581,4.579243145883083,4.579243145883083,327400
1992-10-09,4.3989577293396,4.579242882181386,4.3989577293396,4.579242882181386,628200
1992-10-12,4.362900257110596,4.4710713378654034,4.326843230192326,4.4350143109471345,629600
1992-10-13,4.435014724731445,4.471071755013814,4.362900664166706,4.362900664166706,1432200
1992-10-14,4.435014724731445,4.507128785296184,4.362900664166706,4.398957694449075,941200
1992-10-15,4.362900257110596,4.4710713378654034,4.362900257110596,4.398957284028865,944000
1992-10-16,4.3989577293396,4.3989577293396,4.362900698771242,4.362900698771242,404800
1992-10-19,4.543186187744141,4.543186187744141,4.398958054799882,4.398958054799882,336200
1992-10-20,4.543186187744141,4.651357287452335,4.507129154508076,4.579243220980205,1016800
1992-10-21,4.543186187744141,4.543186187744141,4.507129154508076,4.543186187744141,297000
1992-10-22,4.471074104309082,4.579245251993979,4.398960005852484,4.54318820276568,648800
1992-10-23,4.471074104309082,4.471074104309082,4.398960005852484,4.398960005852484,455400
1992-10-26,4.507129192352295,4.543186225891113,4.4710721588134765,4.4710721588134765,757600
1992-10-27,4.579244136810303,4.615301177257628,4.507130055915652,4.543187096362978,611600
1992-10-28,4.615300178527832,4.615300178527832,4.543186113238335,4.579243145883083,1490800
1992-10-29,4.507129192352295,4.579243259429932,4.507129192352295,4.579243259429932,442000
1992-10-30,4.543186187744141,4.579243220980205,4.507129154508076,4.543186187744141,786200
1992-11-02,4.579244136810303,4.615301177257628,4.543187096362978,4.579244136810303,529000
1992-11-03,4.579244136810303,4.651358217704953,4.579244136810303,4.579244136810303,1005000
1992-11-04,4.579244136810303,4.579244136810303,4.543187096362978,4.579244136810303,338000
1992-11-05,4.651358127593994,4.651358127593994,4.543187008347623,4.543187008347623,1018800
1992-11-06,4.687416076660156,4.759530170147236,4.579244936429538,4.579244936429538,1850000
1992-11-09,4.759528636932373,4.8676997423172,4.651357531547546,4.651357531547546,1272200
1992-11-10,4.8316426277160645,4.939813731321648,4.759528558645675,4.759528558645675,2574600
1992-11-11,4.903756618499756,4.903756618499756,4.831642550580642,4.8676995845401985,974400
1992-11-12,4.795586109161377,4.867700185990871,4.75952907074663,4.867700185990871,1504400
1992-11-13,4.8316426277160645,4.8316426277160645,4.72347152411048,4.759528558645675,654600
1992-11-16,4.687416076660156,4.831644263634315,4.651359029916616,4.831644263634315,2219600
1992-11-17,4.651358127593994,4.723472207091576,4.615301087845204,4.687415167342785,2032000
1992-11-18,4.759528636932373,4.795585672060648,4.651357531547546,4.651357531547546,807200
1992-11-19,4.759528636932373,4.795585672060648,4.687414566675821,4.723471601804097,1040000
1992-11-20,4.759528636932373,4.795585672060648,4.687414566675821,4.795585672060648,1954000
1992-11-23,4.615300178527832,4.759528309106827,4.615300178527832,4.723471276462078,1565400
1992-11-24,4.687416076660156,4.759530170147236,4.651359029916616,4.651359029916616,470400
1992-11-25,4.795586109161377,4.831643147576124,4.723472032331882,4.75952907074663,1022000
1992-11-27,4.8316426277160645,4.8316426277160645,4.79558559318087,4.79558559318087,747800
1992-11-30,4.759528636932373,4.8676997423172,4.759528636932373,4.831642707188924,998000
1992-12-01,4.741287708282471,4.849866816105733,4.7050946723413825,4.777480744223558,2407000
1992-12-02,4.813675880432129,4.849868932164701,4.705096725234411,4.741289776966984,1942400
1992-12-03,4.777480602264404,4.886059706861323,4.777480602264404,4.8136736371300435,1448200
1992-12-04,4.849865436553955,4.88605846219988,4.813672410908031,4.849865436553955,1611400
1992-12-07,4.849865436553955,4.88605846219988,4.777479385262105,4.813672410908031,884800
1992-12-08,4.813675880432129,4.813675880432129,4.777482828699556,4.777482828699556,1178000
1992-12-09,4.777480602264404,4.8498666719956836,4.777480602264404,4.8136736371300435,815000
1992-12-10,4.8860602378845215,4.922253276683666,4.777481121487088,4.777481121487088,1170600
1992-12-11,4.813675880432129,4.849868932164701,4.777482828699556,4.813675880432129,461600
1992-12-14,4.705099105834961,4.849871386014498,4.705099105834961,4.8136783159696135,967400
1992-12-15,4.632708549499512,4.632708549499512,4.524129442870617,4.560322478413582,2203000
1992-12-16,4.705099105834961,4.7412921758798445,4.632712965745192,4.632712965745192,834600
1992-12-17,4.849865436553955,4.88605846219988,4.66890030832433,4.66890030832433,1126000
1992-12-18,4.813675880432129,4.849868932164701,4.741289776966984,4.849868932164701,1563200
1992-12-21,4.777480602264404,4.8498666719956836,4.777480602264404,4.8498666719956836,901000
1992-12-22,4.777480602264404,4.886059706861323,4.741287567398765,4.8136736371300435,1963800
1992-12-23,4.777480602264404,4.8498666719956836,4.777480602264404,4.8136736371300435,474600
1992-12-24,4.777480602264404,4.8136736371300435,4.741287567398765,4.777480602264404,447800
1992-12-28,4.705099105834961,4.7412921758798445,4.5965198957003075,4.705099105834961,1947200
1992-12-29,4.705099105834961,4.777485245924729,4.705099105834961,4.705099105834961,482400
1992-12-30,4.777480602264404,4.777480602264404,4.705094532533126,4.705094532533126,591000
1992-12-31,4.849865436553955,4.849865436553955,4.74128635961618,4.74128635961618,1022000
1993-01-04,4.741287708282471,4.849866816105733,4.741287708282471,4.813673780164645,1185200
1993-01-05,4.777480602264404,4.8498666719956836,4.705094532533126,4.741287567398765,878600
