Price,Close,High,Low,Open,Volume
Ticker,DUK,DUK,DUK,DUK,DUK
Date,,,,,
1980-03-17,0.7662099599838257,0.7921830845629003,0.7662099599838257,0.7662099599838257,133540
1980-03-18,0.8246498107910156,0.8246498107910156,0.7662100729504894,0.7662100729504894,224861
1980-03-19,0.7986766695976257,0.8311432286063437,0.7986766695976257,0.8246499736393366,319394
1980-03-20,0.8051702380180359,0.8051702380180359,0.7921834984394218,0.7986768113939824,118855
1980-03-21,0.7986766695976257,0.8051700950688422,0.7921833577958821,0.8051700950688422,100270
1980-03-24,0.7791967391967773,0.792183305101692,0.7727034278269538,0.792183305101692,123903
1980-03-25,0.7856901288032532,0.7921833839849229,0.7662102495887673,0.7791968167868452,353353
1980-03-26,0.7986766695976257,0.8116633500358493,0.7921833577958821,0.7921833577958821,83979
1980-03-27,0.7856901288032532,0.798676696001331,0.7856901288032532,0.798676696001331,100040
1980-03-28,0.7986766695976257,0.7986766695976257,0.7921833577958821,0.7921833577958821,34647
1980-03-31,0.8246498107910156,0.8246498107910156,0.7921832013589285,0.7986765118784008,75718
1980-04-01,0.8571168184280396,0.8636101323947846,0.8246502485943142,0.8246502485943142,142718
1980-04-02,0.8571168184280396,0.8701033895267742,0.8506233907917837,0.8571168184280396,138817
1980-04-03,0.8636094927787781,0.8765960542592621,0.8571161836211794,0.8571161836211794,394424
1980-04-07,0.8376369476318359,0.8636102643006777,0.8311436326733166,0.8636102643006777,710836
1980-04-08,0.8506231307983398,0.8506231307983398,0.8311432516868962,0.8376365636689568,274422
1980-04-09,0.8701030611991882,0.8765963727157255,0.8506230698148425,0.8506230698148425,293466
1980-04-10,0.8960760235786438,0.8960760235786438,0.8765961507953199,0.8765961507953199,185166
1980-04-11,0.9025698304176331,0.9220498275963276,0.8960765169696517,0.8960765169696517,169334
1980-04-14,0.8960760235786438,0.9090627001587256,0.8895827137059626,0.902569333451325,237940
1980-04-15,0.8830896019935608,0.8895828560706726,0.8701029801698799,0.8895828560706726,99352
1980-04-16,0.9155562520027161,0.9285428183455635,0.8895829488128175,0.8895829488128175,331785
1980-04-17,0.9415293335914612,0.9480225876011671,0.9155561470484533,0.9155561470484533,157632
1980-04-18,0.9480229616165161,0.9480229616165161,0.9350363916388964,0.9415297050450815,125739
1980-04-21,0.9545160531997681,0.9545160531997681,0.9415295423016183,0.9480227977506932,99581
1980-04-22,0.9610092043876648,0.9610092043876648,0.9350359073798541,0.9545157238402292,129180
1980-04-23,0.9545160531997681,0.9675027914368803,0.9545160531997681,0.9610095359878055,198474
1980-04-24,0.9675026535987854,0.9739959081227798,0.9480226626878722,0.9545159172118666,351976
1980-04-25,0.9675026535987854,0.9675026535987854,0.9545159172118666,0.9675026535987854,59886
1980-04-28,0.9610092043876648,0.9675024575962161,0.9545157238402292,0.9675024575962161,53232
1980-04-29,0.9675026535987854,0.9675026535987854,0.9610093990747911,0.9610093990747911,57821
1980-04-30,0.9675026535987854,0.9739959081227798,0.9610093990747911,0.9675026535987854,353582
1980-05-01,0.9675026535987854,0.9804892763162393,0.9675026535987854,0.9675026535987854,281306
1980-05-02,0.9675026535987854,0.9739959081227798,0.9610093990747911,0.9675026535987854,240693
1980-05-05,0.9739956855773926,0.980489052287202,0.9545156991174037,0.9675024325370224,225779
1980-05-06,0.9804885387420654,0.9804885387420654,0.9675019257938133,0.9739951754332496,384787
1980-05-07,0.9869822859764099,0.9999689054719687,0.9739956664808511,0.9804890330633489,295761
1980-05-08,0.9739956855773926,0.9869823053275721,0.9675024325370224,0.9869823053275721,67917
1980-05-09,0.9480229616165161,0.9675029586698218,0.9415297050450815,0.9675029586698218,200998
1980-05-12,0.9155562520027161,0.922049563591507,0.8960762604016085,0.922049563591507,146389
1980-05-13,0.9285427331924438,0.935036044185758,0.9155561680405448,0.9155561680405448,93616
1980-05-14,0.9415293335914612,0.9415293335914612,0.9220494578928874,0.9285427119025933,50708
1980-05-15,0.9155562520027161,0.9415294415231455,0.9090629404139251,0.9415294415231455,192738
1980-05-16,0.9025698304176331,0.9155565141483464,0.9025698304176331,0.9155565141483464,50250
1980-05-19,0.9025698304176331,0.9090632007003651,0.8960765169696517,0.9025698304176331,321000
1980-05-20,0.8895829319953918,0.8960762434614279,0.8701030544320175,0.8960762434614279,152584
1980-05-21,0.8830896019935608,0.896076166982513,0.8765962910817203,0.8895828560706726,805828
1980-05-22,0.9025698304176331,0.9025698304176331,0.8830899469084401,0.8830899469084401,170940
1980-05-23,0.8960760235786438,0.9090627001587256,0.8960760235786438,0.902569333451325,84208
1980-05-27,0.9220492839813232,0.9220492839813232,0.8895826790480872,0.8960759886677909,508002
1980-05-28,0.9155562520027161,0.9285428183455635,0.9090629404139251,0.922049563591507,116102
1980-05-29,0.9090626835823059,0.922049303090862,0.8960760072390312,0.915555993336584,161074
1980-05-30,0.9090626835823059,0.9090626835823059,0.9025693169933093,0.9090626835823059,104170
1980-06-02,0.8960760235786438,0.9090627001587256,0.8960760235786438,0.9090627001587256,96369
1980-06-03,0.9090626835823059,0.9090626835823059,0.8960760072390312,0.8960760072390312,75489
1980-06-04,0.9155562520027161,0.922049563591507,0.9025695719903996,0.9090629404139251,118626
1980-06-05,0.9220492839813232,0.9285425367663096,0.9155559743616195,0.9155559743616195,119543
1980-06-06,0.9220492839813232,0.9350358463860133,0.9155559743616195,0.9220492839813232,71129
