Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,TMO,TSLA,TMO,TSLA,TMO,TSLA,TMO,TSLA,TMO,TSLA
Date,,,,,,,,,,
1980-03-17,1.6791706085205078,,1.7327613229412084,,1.6791706085205078,,1.6791706085205078,,151495,
1980-03-18,1.6434427499771118,,1.6970336435504587,,1.6434427499771118,,1.6791701417262634,,436261,
1980-03-19,1.7148973941802979,,1.768488289464758,,1.7148973941802979,,1.7148973941802979,,234647,
1980-03-20,1.6791706085205078,,1.7327613229412084,,1.6791706085205078,,1.7148978161511197,,60370,
1980-03-21,1.6791706085205078,,1.7327613229412084,,1.6791706085205078,,1.6791706085205078,,53536,
1980-03-24,1.57198965549469,,1.6255804666232025,,1.57198965549469,,1.6255804666232025,,312103,
1980-03-25,1.607716679573059,,1.6613067083885442,,1.607716679573059,,1.607716679573059,,170859,
1980-03-26,1.607716679573059,,1.6613067083885442,,1.607716679573059,,1.607716679573059,,195919,
1980-03-27,1.4290814399719238,,1.4826722486620532,,1.4290814399719238,,1.4826722486620532,,299573,
1980-03-28,1.6255804300308228,,1.6791705607764866,,1.6255804300308228,,1.6255804300308228,,265402,
1980-03-31,1.7148973941802979,,1.768488289464758,,1.7148973941802979,,1.7148973941802979,,345136,
1980-04-01,1.6970337629318237,,1.7506246602751336,,1.6970337629318237,,1.7148974600630584,,242620,
1980-04-02,1.6970337629318237,,1.7506246602751336,,1.6970337629318237,,1.6970337629318237,,61509,
1980-04-03,1.6791706085205078,,1.7327613229412084,,1.6791706085205078,,1.6970341153105966,,130992,
1980-04-07,1.5898529291152954,,1.6434428558903953,,1.5898529291152954,,1.6434428558903953,,137827,
1980-04-08,1.607716679573059,,1.6613067083885442,,1.607716679573059,,1.607716679573059,,97959,
1980-04-09,1.6791706085205078,,1.7327613229412084,,1.6791706085205078,,1.6791706085205078,,205031,
1980-04-10,1.7506247758865356,,1.8042147065169585,,1.7506247758865356,,1.7506247758865356,,214144,
1980-04-11,1.7506247758865356,,1.8042147065169585,,1.7506247758865356,,1.7506247758865356,,264263,
