Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,HON,INTC,ISRG,HON,INTC,ISRG,HON,INTC,ISRG,HON,INTC,ISRG,HON,INTC,ISRG
Date,,,,,,,,,,,,,,,
1962-01-02,1.0463732481002808,,,1.0487298915950696,,,1.041659841026958,,,1.041659841026958,,,40740,,
1962-01-03,1.058156967163086,,,1.0581569671630857,,,1.0487301506875124,,,1.0487301506875124,,,83483,,
1962-01-04,1.0652272701263428,,,1.0746540888200509,,,1.0605139808632915,,,1.0605139808632915,,,74801,,
1962-01-05,1.0628697872161865,,,1.0746532412478853,,,1.0605131444433302,,,1.065226429989043,,,42744,,
1962-01-08,1.0675835609436035,,,1.0746537326626182,,,1.0510866937388414,,,1.0628702732426114,,,90830,,
1962-01-09,1.0652272701263428,,,1.0722974441885251,,,1.0605139808632915,,,1.0675839147578683,,,62780,,
1962-01-10,1.0440163612365723,,,1.0652265079966452,,,1.0416595982074195,,,1.0652265079966452,,,38736,,
1962-01-11,1.0440163612365723,,,1.046373004182008,,,1.0322327862582426,,,1.0440163612365723,,,46751,,
1962-01-12,1.0345901250839233,,,1.0510868750506004,,,1.032233360743124,,,1.0440169422795536,,,30054,,
1962-01-15,1.0157361030578613,,,1.0345897302540223,,,1.0086659328174319,,,1.0345897302540223,,,36733,,
1962-01-16,1.0015956163406372,,,1.0157357111989374,,,1.0015956163406372,,,1.0157357111989374,,,26047,,
1962-01-17,1.003952980041504,,,1.003952980041504,,,1.001596335899975,,,1.001596335899975,,,39404,,
1962-01-18,1.003952980041504,,,1.003952980041504,,,1.001596335899975,,,1.003952980041504,,,31390,,
1962-01-19,1.003952980041504,,,1.0086662683245613,,,1.003952980041504,,,1.003952980041504,,,38068,,
1962-01-22,0.9921690821647644,,,1.0039526593598422,,,0.9921690821647644,,,1.0039526593598422,,,50758,,
1962-01-23,0.9921690821647644,,,0.9945259056791456,,,0.9898124387759926,,,0.9921690821647644,,,43411,,
1962-01-24,0.9827428460121155,,,0.9850996107257367,,,0.9733160873671374,,,0.9850996107257367,,,48754,,
1962-01-25,0.9803858399391174,,,0.9850992475448443,,,0.9803858399391174,,,0.9827424837001016,,,41408,,
1962-01-26,0.9709581136703491,,,0.9803849200365596,,,0.9709581136703492,,,0.9803849200365596,,,54765,,
1962-01-29,0.9733151793479919,,,0.9780285842942313,,,0.9662450719286331,,,0.9709584768748724,,,32058,,
1962-01-30,0.9874561429023743,,,0.9874561429023744,,,0.9756726816440859,,,0.9756726816440859,,,34729,,
1962-01-31,1.0015956163406372,,,1.0039522587891234,,,0.9827419363761357,,,0.9874554013986454,,,60776,,
1962-02-01,1.0015956163406372,,,1.0110223062182733,,,0.9921686862956177,,,1.0015956163406372,,,66119,,
1962-02-02,1.003952980041504,,,1.0086662683245613,,,0.9968828674912507,,,1.001596335899975,,,36733,,
