Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,USB,VZ,WFC,WMT,XOM,USB,VZ,WFC,WMT,XOM,USB,VZ,WFC,WMT,XOM,USB,VZ,WFC,WMT,XOM,USB,VZ,WFC,WMT,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-02,,,,,0.09096535295248032,,,,,0.0916408519894654,,,,,0.09096535295248032,,,,,0.09096535295248032,,,,,902400
1962-01-03,,,,,0.09231637418270111,,,,,0.09231637418270111,,,,,0.0909653757698522,,,,,0.0909653757698522,,,,,1200000
1962-01-04,,,,,0.09254159033298492,,,,,0.09299188682106571,,,,,0.09209123887371595,,,,,0.09231644208894453,,,,,1088000
1962-01-05,,,,,0.09051507711410522,,,,,0.09299181585070537,,,,,0.09028987407074919,,,,,0.0925415197062858,,,,,1222400
1962-01-08,,,,,0.09028991311788559,,,,,0.09119056076736866,,,,,0.08916411729882424,,,,,0.09051511625863386,,,,,1388800
1962-01-09,,,,,0.09006471186876297,,,,,0.0909653589874506,,,,,0.08983956383187547,,,,,0.09028985990565047,,,,,1065600
1962-01-10,,,,,0.08961447328329086,,,,,0.09006476964593409,,,,,0.08938927013079637,,,,,0.09006476964593409,,,,,828800
1962-01-11,,,,,0.09051507711410522,,,,,0.09051507711410522,,,,,0.08983957792632961,,,,,0.08983957792632961,,,,,617600
1962-01-12,,,,,0.09186600148677826,,,,,0.09186600148677826,,,,,0.09074020638781224,,,,,0.09074020638781224,,,,,1398400
1962-01-15,,,,,0.09186600148677826,,,,,0.09186600148677826,,,,,0.09096535441337847,,,,,0.09186600148677826,,,,,966400
1962-01-16,,,,,0.09119052439928055,,,,,0.09186602360978659,,,,,0.09119052439928055,,,,,0.09186602360978659,,,,,569600
1962-01-17,,,,,0.0907401293516159,,,,,0.09186592349480967,,,,,0.09006463087726438,,,,,0.09119042502045814,,,,,832000
1962-01-18,,,,,0.09096535295248032,,,,,0.0911905009744307,,,,,0.09028985391549524,,,,,0.09074020493052995,,,,,844800
1962-01-19,,,,,0.09164083749055862,,,,,0.09164083749055862,,,,,0.09096533856044725,,,,,0.09096533856044725,,,,,720000
1962-01-22,,,,,0.09186600148677826,,,,,0.09186600148677826,,,,,0.0914157054356458,,,,,0.09164085346121202,,,,,745600
1962-01-23,,,,,0.09119052439928055,,,,,0.09164087553000061,,,,,0.09096537631949457,,,,,0.09164087553000061,,,,,908800
1962-01-24,,,,,0.09119052439928055,,,,,0.09141572745021462,,,,,0.0905150801599226,,,,,0.09119052439928055,,,,,841600
1962-01-25,,,,,0.09141575545072556,,,,,0.09186605174822261,,,,,0.09119055233081211,,,,,0.09119055233081211,,,,,1078400
1962-01-26,,,,,0.09186600148677826,,,,,0.09186600148677826,,,,,0.0911905024389447,,,,,0.0914157054356458,,,,,832000
1962-01-29,,,,,0.09321706742048264,,,,,0.09344221560989881,,,,,0.09186606834163585,,,,,0.09186606834163585,,,,,1462400
1962-01-30,,,,,0.09411760419607162,,,,,0.09411760419607162,,,,,0.09344210545297939,,,,,0.09344210545297939,,,,,1843200
1962-01-31,,,,,0.09546861052513123,,,,,0.09546861052513123,,,,,0.09434281518153666,,,,,0.09434281518153666,,,,,1718400
1962-02-01,,,,,0.09726990759372711,,,,,0.09726990759372711,,,,,0.09546861300865808,,,,,0.09546861300865808,,,,,2371200
1962-02-02,,,,,0.09929639101028442,,,,,0.09929639101028442,,,,,0.09704479934047125,,,,,0.09726994751321841,,,,,2310400
1962-02-05,,,,,0.10019700229167938,,,,,0.10087250153582306,,,,,0.09952155801868655,,,,,0.09952155801868655,,,,,1977600
1962-02-06,,,,,0.09884609282016754,,,,,0.09997188863406502,,,,,0.098620944651622,,,,,0.09997188863406502,,,,,1446400
1962-02-07,,,,,0.09971114248037338,,,,,0.09971114248037338,,,,,0.09811757195818133,,,,,0.09971114248037338,,,,,1126400
1962-02-08,,,,,0.09971114248037338,,,,,0.10016641658451715,,,,,0.09948344984945706,,,,,0.09971114248037338,,,,,684800
1962-02-09,,,,,0.09857282042503357,,,,,0.09902814998959748,,,,,0.09857282042503357,,,,,0.09902814998959748,,,,,563200
1962-02-12,,,,,0.09880056232213974,,,,,0.09902819942865276,,,,,0.098345232530256,,,,,0.098572869636769,,,,,428800
1962-02-13,,,,,0.09811755269765854,,,,,0.09880051929865195,,,,,0.09675161949567171,,,,,0.09880051929865195,,,,,873600
1962-02-14,,,,,0.09925582259893417,,,,,0.09925582259893417,,,,,0.09743461484482528,,,,,0.0981175816473286,,,,,636800
1962-02-15,,,,,0.09948338568210602,,,,,0.09971107816615939,,,,,0.09880047496637168,,,,,0.09925574877686123,,,,,742400
