Date,Open,High,Low,Close,Adj Close,Volume
2010-01-05 00:00:00,35.0,35.0,35.0,35.0,35.0,10000
2010-01-06 00:00:00,35.0,35.0,35.0,35.0,35.0,0
2010-01-07 00:00:00,35.25,35.5,35.0,35.0,35.0,9800
2010-01-08 00:00:00,34.54999923706055,34.54999923706055,33.5,33.5,33.5,32200
2010-01-11 00:00:00,33.5,33.5,33.5,33.5,33.5,3700
2010-01-12 00:00:00,33.5,33.54999923706055,33.5,33.5,33.5,5100
2010-01-13 00:00:00,33.0099983215332,33.0099983215332,32.5,32.75,32.75,226300
2010-01-14 00:00:00,32.75,32.75,32.75,32.75,32.75,150500
2010-01-15 00:00:00,32.5,32.5,32.25,32.25,32.25,45500
2010-01-19 00:00:00,32.25,32.25,31.75,32.0,32.0,19400
2010-01-20 00:00:00,31.5,31.75,31.5,31.75,31.75,600
2010-01-21 00:00:00,31.5,31.600000381469727,31.5,31.600000381469727,31.600000381469727,600
2010-01-22 00:00:00,31.5,31.5,31.5,31.5,31.5,200
2010-01-25 00:00:00,31.100000381469727,31.25,31.0,31.25,31.25,1300
2010-01-26 00:00:00,31.0,31.0,30.75,30.75,30.75,300
2010-01-27 00:00:00,30.549999237060547,31.0,30.549999237060547,30.75,30.75,77000
2010-01-28 00:00:00,31.0,31.0,30.75,30.75,30.75,10400
2010-01-29 00:00:00,30.850000381469727,30.850000381469727,30.5,30.6299991607666,30.6299991607666,30700
2010-02-01 00:00:00,30.25,30.5,30.25,30.5,30.5,3500
2010-02-02 00:00:00,30.5,30.5,30.5,30.5,30.5,600
2010-02-03 00:00:00,30.100000381469727,30.100000381469727,29.75,29.75,29.75,5200
2010-02-04 00:00:00,30.0,30.25,30.0,30.25,30.25,29400
2010-02-05 00:00:00,30.479999542236328,30.5,30.0,30.5,30.5,1800
2010-02-08 00:00:00,30.0,30.0,29.75,29.850000381469727,29.850000381469727,47400
2010-02-09 00:00:00,29.100000381469727,29.799999237060547,29.100000381469727,29.799999237060547,29.799999237060547,29700
2010-02-10 00:00:00,29.399999618530273,29.850000381469727,29.399999618530273,29.75,29.75,107600
2010-02-11 00:00:00,29.739999771118164,29.739999771118164,29.5,29.739999771118164,29.739999771118164,10000
2010-02-12 00:00:00,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,100
2010-02-16 00:00:00,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,0
2010-02-17 00:00:00,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,0
2010-02-18 00:00:00,29.100000381469727,29.700000762939453,29.100000381469727,29.700000762939453,29.700000762939453,1700
2010-02-19 00:00:00,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,0
2010-02-22 00:00:00,29.100000381469727,29.719999313354492,29.100000381469727,29.700000762939453,29.700000762939453,19700
2010-02-23 00:00:00,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,0
2010-02-24 00:00:00,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,0
2010-02-25 00:00:00,29.5,29.700000762939453,29.5,29.5,29.5,2800
